# emilia_zh_0003980703  cmn->eng  source 19380ms  72 events (160ms each)
# gold transcription: 那在这个当中它的安全就是来满足这些需求的啊也就是一种很标准的一种情境下的一个需求嗯所以如果我们去看这个创意的时候因为我们也会有一些创意评分的一些工具吧那么这一个其实是得分非常高的可能大家也觉得说哎这也不是一个特别那种特别有创意的东西哈
# reference translation: In this context its security is meant to meet these needs which is a standard requirement in a typical scenario So when we look at this creativity we also have some tools for evaluating creativity This one actually scores very high Perhaps everyone also feels that well this isn't something particularly creative

 ev  src_ms final  decisions                                   asr_delta         mt_delta                      sem audio_ms
  0     160 False  WRITE_ASR -> WAIT                           那                                                 0        0
  1     320 False  WRITE_ASR -> WAIT                           在                                                 0        0
  2     480 False  WRITE_ASR -> WAIT                           这个                                                0        0
  3     640 False  WRITE_MT -> WRITE_SEMANTIC -> WAIT                            In this                        92     1840
  4     960 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT当中                case                           15     2140
  5    1120 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT他                 he                              3     2200
  6    1600 False  WRITE_ASR -> WAIT                           安全                                                0     2200
  7    1920 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT就是                safety                         46     3120
  8    2080 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT来                 is to come                      8     3280
  9    2560 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT满足                to meet                        16     3600
 10    3040 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT这些                these                           6     3720
 11    3520 False  WRITE_ASR -> WAIT                           需求                                                0     3720
 12    3680 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT的                 needs                          58     4880
 13    3840 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT啊                 and                             4     4960
 14    4000 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT也                 also                           11     5180
 15    4160 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT就是                that                            5     5280
 16    4800 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一种                is a kind                      22     5720
 17    4960 False  WRITE_ASR -> WAIT                           最                                                 0     5720
 18    5440 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT标准的               standard                       46     6640
 19    5760 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一种                of                              4     6720
 20    6080 False  WRITE_ASR -> WAIT                           情境                                                0     6720
 21    6240 False  WRITE_ASR -> WAIT                           上                                                 0     6720
 22    6400 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT的                 situation                      44     7600
 23    6560 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT就是                which is                        8     7760
 24    6880 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT需求                a need                          5     7860
 25    7040 False  WRITE_MT -> WRITE_SEMANTIC -> WAIT                            to meet                        12     8100
 26    7360 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT嗯                 and                             5     8200
 27    7520 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT就是                it's about                     18     8560
 28    7680 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT如果                if                              4     8640
 29    7840 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT我们                we                              4     8720
 30    8000 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT去                 go                              5     8820
 31    8320 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT看                 to see                         35     9520
 32    8480 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一个                a                               2     9560
 33    8800 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT创意的               creative                       16     9880
 34    9280 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT时候                time                            2     9920
 35    9440 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT因为                because                        10    10120
 36    9600 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT我们                we                              3    10180
 37    9760 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT也会                will also                      36    10900
 38    9920 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT有                 have                            7    11040
 39   10080 False  WRITE_ASR -> WRITE_MT -> WRITE_SEMANTIC -> WAIT一些                some                            9    11220
 40   10400 False  WRITE_ASR -> WAIT                           创意                                                0    11220
 41   10720 False  WRITE_ASR -> WAIT                           评分                                                0    11220
