timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 19:21:08.406, 0, 0, 0, 73.33, 700.00
2026/08/31 19:21:08.412, 1, 0, 0, 78.65, 700.00
2026/08/31 19:21:08.416, 2, 0, 0, 74.39, 700.00
2026/08/31 19:21:08.419, 3, 0, 0, 74.60, 700.00
2026/08/31 19:21:08.422, 4, 0, 0, 79.74, 700.00
2026/08/31 19:21:08.425, 5, 0, 0, 75.64, 700.00
2026/08/31 19:21:08.431, 6, 0, 0, 75.08, 700.00
2026/08/31 19:21:08.436, 7, 0, 0, 72.42, 700.00
2026/08/31 19:21:14.064, 0, 1, 0, 73.35, 700.00
2026/08/31 19:21:14.308, 1, 4, 0, 78.64, 700.00
2026/08/31 19:21:14.654, 2, 1, 0, 74.42, 700.00
2026/08/31 19:21:14.684, 3, 1, 0, 74.57, 700.00
2026/08/31 19:21:14.732, 4, 1, 0, 79.81, 700.00
2026/08/31 19:21:14.895, 5, 1, 0, 75.64, 700.00
2026/08/31 19:21:15.045, 6, 1, 0, 75.06, 700.00
2026/08/31 19:21:15.084, 7, 1, 0, 72.42, 700.00
2026/08/31 19:21:20.518, 0, 4, 0, 73.34, 700.00
2026/08/31 19:21:20.553, 1, 2609, 0, 121.58, 700.00
2026/08/31 19:21:20.560, 2, 4, 0, 74.36, 700.00
2026/08/31 19:21:20.563, 3, 4, 0, 74.58, 700.00
2026/08/31 19:21:20.567, 4, 4, 0, 79.77, 700.00
2026/08/31 19:21:20.570, 5, 4, 0, 75.62, 700.00
2026/08/31 19:21:20.574, 6, 4, 0, 75.08, 700.00
2026/08/31 19:21:20.581, 7, 4, 0, 72.41, 700.00
2026/08/31 19:21:25.706, 0, 2609, 0, 117.02, 700.00
2026/08/31 19:21:25.709, 1, 4447, 7, 125.13, 700.00
2026/08/31 19:21:25.712, 2, 2609, 0, 116.79, 700.00
2026/08/31 19:21:25.714, 3, 4217, 14, 118.28, 700.00
2026/08/31 19:21:25.717, 4, 3167, 0, 121.40, 700.00
2026/08/31 19:21:25.720, 5, 2609, 0, 118.90, 700.00
2026/08/31 19:21:25.722, 6, 2609, 0, 117.87, 700.00
2026/08/31 19:21:25.724, 7, 2609, 0, 113.24, 700.00
2026/08/31 19:21:30.883, 0, 4447, 9, 120.76, 700.00
2026/08/31 19:21:30.894, 1, 4447, 18, 132.06, 700.00
2026/08/31 19:21:30.897, 2, 4447, 7, 120.77, 700.00
2026/08/31 19:21:30.900, 3, 4447, 7, 123.25, 700.00
2026/08/31 19:21:30.904, 4, 4447, 7, 126.18, 700.00
