timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 19:37:36.395, 0, 0, 0, 76.04, 700.00
2026/08/31 19:37:36.429, 1, 0, 0, 85.20, 700.00
2026/08/31 19:37:36.438, 2, 0, 0, 77.21, 700.00
2026/08/31 19:37:36.445, 3, 0, 0, 79.36, 700.00
2026/08/31 19:37:36.453, 4, 0, 0, 87.79, 700.00
2026/08/31 19:37:36.459, 5, 0, 0, 78.85, 700.00
2026/08/31 19:37:36.463, 6, 0, 0, 80.04, 700.00
2026/08/31 19:37:36.468, 7, 0, 0, 74.73, 700.00
2026/08/31 19:37:46.258, 0, 1, 0, 75.16, 700.00
2026/08/31 19:37:46.359, 1, 4, 0, 83.87, 700.00
2026/08/31 19:37:46.858, 2, 1, 0, 76.44, 700.00
2026/08/31 19:37:46.993, 3, 1, 0, 78.64, 700.00
2026/08/31 19:37:47.232, 4, 1, 0, 85.72, 700.00
2026/08/31 19:37:47.397, 5, 1, 0, 77.89, 700.00
2026/08/31 19:37:47.523, 6, 1, 0, 79.03, 700.00
2026/08/31 19:37:47.731, 7, 4, 0, 73.93, 700.00
2026/08/31 19:37:54.388, 0, 4, 0, 74.65, 700.00
2026/08/31 19:37:54.392, 1, 2609, 0, 131.07, 700.00
2026/08/31 19:37:54.396, 2, 4, 0, 76.12, 700.00
2026/08/31 19:37:54.401, 3, 2325, 16, 103.85, 700.00
2026/08/31 19:37:54.403, 4, 527, 0, 90.73, 700.00
2026/08/31 19:37:54.405, 5, 4, 0, 77.45, 700.00
2026/08/31 19:37:54.409, 6, 2609, 0, 124.03, 700.00
2026/08/31 19:37:54.411, 7, 2609, 0, 117.29, 700.00
2026/08/31 19:37:59.536, 0, 2609, 0, 120.17, 700.00
2026/08/31 19:37:59.539, 1, 4447, 7, 133.40, 700.00
2026/08/31 19:37:59.541, 2, 2609, 0, 120.91, 700.00
2026/08/31 19:37:59.543, 3, 4303, 0, 125.86, 700.00
2026/08/31 19:37:59.546, 4, 4217, 0, 132.35, 700.00
2026/08/31 19:37:59.548, 5, 4063, 44, 122.57, 700.00
2026/08/31 19:37:59.550, 6, 4413, 5, 128.22, 700.00
2026/08/31 19:37:59.553, 7, 4419, 7, 122.30, 700.00
2026/08/31 19:38:04.675, 0, 4447, 5, 123.88, 700.00
2026/08/31 19:38:04.678, 1, 4447, 18, 140.30, 700.00
2026/08/31 19:38:04.681, 2, 4447, 5, 123.81, 700.00
2026/08/31 19:38:04.683, 3, 4447, 6, 128.83, 700.00
2026/08/31 19:38:04.685, 4, 4447, 11, 135.63, 700.00
2026/08/31 19:38:04.688, 5, 4413, 12, 125.70, 700.00
2026/08/31 19:38:04.690, 6, 4413, 19, 134.64, 700.00
2026/08/31 19:38:04.693, 7, 4419, 19, 125.78, 700.00
2026/08/31 19:38:09.829, 0, 4449, 17, 128.69, 700.00
2026/08/31 19:38:09.834, 1, 4447, 18, 141.14, 700.00
2026/08/31 19:38:09.836, 2, 4447, 19, 129.39, 700.00
2026/08/31 19:38:09.839, 3, 4449, 18, 134.38, 700.00
2026/08/31 19:38:09.841, 4, 4449, 17, 143.87, 700.00
2026/08/31 19:38:09.844, 5, 4413, 18, 132.48, 700.00
2026/08/31 19:38:09.847, 6, 5237, 6, 123.41, 700.00
2026/08/31 19:38:09.850, 7, 4419, 36, 116.49, 700.00
2026/08/31 19:38:14.987, 0, 4449, 17, 129.20, 700.00
2026/08/31 19:38:14.992, 1, 4447, 0, 129.21, 700.00
2026/08/31 19:38:14.994, 2, 4447, 18, 129.17, 700.00
2026/08/31 19:38:14.998, 3, 4449, 17, 134.25, 700.00
2026/08/31 19:38:15.001, 4, 4449, 19, 143.13, 700.00
2026/08/31 19:38:15.004, 5, 5563, 19, 131.82, 700.00
2026/08/31 19:38:15.007, 6, 5563, 20, 133.74, 700.00
2026/08/31 19:38:15.011, 7, 5571, 19, 127.35, 700.00
2026/08/31 19:38:20.142, 0, 4449, 10, 123.57, 700.00
2026/08/31 19:38:20.145, 1, 5597, 19, 140.63, 700.00
2026/08/31 19:38:20.148, 2, 4447, 19, 131.10, 700.00
2026/08/31 19:38:20.151, 3, 4449, 18, 132.89, 700.00
2026/08/31 19:38:20.153, 4, 4449, 19, 141.51, 700.00
2026/08/31 19:38:20.156, 5, 5563, 19, 133.55, 700.00
2026/08/31 19:38:20.158, 6, 5563, 19, 134.05, 700.00
2026/08/31 19:38:20.161, 7, 5571, 19, 127.21, 700.00
2026/08/31 19:38:25.317, 0, 4449, 18, 129.19, 700.00
2026/08/31 19:38:25.322, 1, 5599, 19, 140.12, 700.00
2026/08/31 19:38:25.325, 2, 4447, 19, 129.83, 700.00
2026/08/31 19:38:25.328, 3, 4449, 18, 133.45, 700.00
2026/08/31 19:38:25.330, 4, 4449, 19, 140.60, 700.00
2026/08/31 19:38:25.333, 5, 5563, 21, 134.62, 700.00
2026/08/31 19:38:25.336, 6, 5563, 20, 134.10, 700.00
2026/08/31 19:38:25.338, 7, 5571, 20, 127.98, 700.00
2026/08/31 19:38:30.470, 0, 4449, 0, 124.51, 700.00
2026/08/31 19:38:30.474, 1, 5599, 20, 139.91, 700.00
2026/08/31 19:38:30.477, 2, 4449, 0, 123.96, 700.00
2026/08/31 19:38:30.479, 3, 4449, 18, 133.22, 700.00
2026/08/31 19:38:30.482, 4, 4449, 19, 140.66, 700.00
2026/08/31 19:38:30.484, 5, 5845, 6, 134.23, 700.00
2026/08/31 19:38:30.487, 6, 5563, 19, 136.32, 700.00
2026/08/31 19:38:30.489, 7, 5571, 19, 127.37, 700.00
2026/08/31 19:38:35.616, 0, 0, 0, 74.57, 700.00
2026/08/31 19:38:35.621, 1, 5599, 20, 140.52, 700.00
2026/08/31 19:38:35.623, 2, 5577, 19, 130.26, 700.00
2026/08/31 19:38:35.626, 3, 4449, 18, 132.99, 700.00
2026/08/31 19:38:35.628, 4, 4451, 9, 133.20, 700.00
2026/08/31 19:38:35.631, 5, 5845, 10, 126.49, 700.00
2026/08/31 19:38:35.633, 6, 5563, 20, 136.22, 700.00
2026/08/31 19:38:35.636, 7, 5571, 20, 128.16, 700.00
2026/08/31 19:38:40.767, 0, 0, 0, 74.42, 700.00
2026/08/31 19:38:40.772, 1, 5599, 20, 141.95, 700.00
2026/08/31 19:38:40.774, 2, 0, 0, 114.86, 700.00
2026/08/31 19:38:40.777, 3, 4449, 18, 132.47, 700.00
2026/08/31 19:38:40.780, 4, 4451, 19, 139.49, 700.00
2026/08/31 19:38:40.782, 5, 5845, 13, 125.55, 700.00
2026/08/31 19:38:40.785, 6, 5563, 20, 136.62, 700.00
2026/08/31 19:38:40.787, 7, 5571, 22, 131.95, 700.00
2026/08/31 19:38:46.218, 0, 0, 0, 74.33, 700.00
2026/08/31 19:38:46.308, 1, 5599, 20, 142.17, 700.00
2026/08/31 19:38:46.337, 2, 0, 0, 75.17, 700.00
