timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 19:40:50.101, 0, 0, 0, 73.89, 700.00
2026/08/31 19:40:50.105, 1, 0, 0, 79.14, 700.00
2026/08/31 19:40:50.108, 2, 0, 0, 74.60, 700.00
2026/08/31 19:40:50.113, 3, 0, 0, 74.80, 700.00
2026/08/31 19:40:50.116, 4, 0, 0, 80.08, 700.00
2026/08/31 19:40:50.119, 5, 0, 0, 75.84, 700.00
2026/08/31 19:40:50.122, 6, 0, 0, 124.24, 700.00
2026/08/31 19:40:50.124, 7, 0, 0, 73.00, 700.00
2026/08/31 19:40:55.861, 0, 1, 0, 73.88, 700.00
2026/08/31 19:40:55.926, 1, 1, 0, 79.12, 700.00
2026/08/31 19:40:56.102, 2, 4, 0, 74.64, 700.00
2026/08/31 19:40:56.241, 3, 4, 0, 74.76, 700.00
2026/08/31 19:40:56.309, 4, 1, 0, 80.10, 700.00
2026/08/31 19:40:56.398, 5, 1, 0, 75.84, 700.00
2026/08/31 19:40:56.558, 6, 1, 0, 76.02, 700.00
2026/08/31 19:40:56.909, 7, 1, 0, 73.01, 700.00
2026/08/31 19:41:02.162, 0, 4, 0, 73.86, 700.00
2026/08/31 19:41:02.168, 1, 4, 0, 79.08, 700.00
2026/08/31 19:41:02.172, 2, 2285, 0, 103.28, 700.00
2026/08/31 19:41:02.174, 3, 2609, 0, 118.59, 700.00
2026/08/31 19:41:02.177, 4, 4, 0, 79.96, 700.00
2026/08/31 19:41:02.180, 5, 4, 0, 75.82, 700.00
2026/08/31 19:41:02.184, 6, 4, 0, 75.89, 700.00
2026/08/31 19:41:02.188, 7, 4, 0, 73.02, 700.00
2026/08/31 19:41:07.309, 0, 2609, 0, 116.63, 700.00
2026/08/31 19:41:07.313, 1, 2609, 0, 122.98, 700.00
2026/08/31 19:41:07.315, 2, 4329, 19, 119.93, 700.00
2026/08/31 19:41:07.317, 3, 4447, 22, 131.99, 700.00
2026/08/31 19:41:07.320, 4, 2609, 0, 122.50, 700.00
2026/08/31 19:41:07.322, 5, 2609, 0, 119.40, 700.00
2026/08/31 19:41:07.324, 6, 2609, 0, 118.65, 700.00
2026/08/31 19:41:07.326, 7, 2609, 0, 114.11, 700.00
2026/08/31 19:41:12.448, 0, 4447, 11, 121.02, 700.00
2026/08/31 19:41:12.452, 1, 4447, 5, 130.43, 700.00
2026/08/31 19:41:12.454, 2, 4447, 8, 121.05, 700.00
2026/08/31 19:41:12.457, 3, 4447, 6, 121.04, 700.00
2026/08/31 19:41:12.459, 4, 4309, 0, 123.23, 700.00
2026/08/31 19:41:12.462, 5, 4327, 1, 121.64, 700.00
2026/08/31 19:41:12.465, 6, 4413, 10, 121.15, 700.00
2026/08/31 19:41:12.467, 7, 4327, 2, 116.10, 700.00
2026/08/31 19:41:17.590, 0, 4449, 19, 127.91, 700.00
2026/08/31 19:41:17.594, 1, 4447, 18, 134.80, 700.00
2026/08/31 19:41:17.597, 2, 4447, 18, 127.91, 700.00
2026/08/31 19:41:17.600, 3, 4449, 18, 128.45, 700.00
2026/08/31 19:41:17.603, 4, 4447, 7, 128.08, 700.00
2026/08/31 19:41:17.605, 5, 4413, 19, 130.15, 700.00
2026/08/31 19:41:17.607, 6, 4413, 19, 129.87, 700.00
2026/08/31 19:41:17.610, 7, 4419, 18, 122.66, 700.00
2026/08/31 19:41:22.734, 0, 4449, 17, 125.63, 700.00
2026/08/31 19:41:22.738, 1, 4447, 17, 133.05, 700.00
2026/08/31 19:41:22.741, 2, 4447, 17, 127.15, 700.00
2026/08/31 19:41:22.744, 3, 4449, 17, 129.23, 700.00
2026/08/31 19:41:22.746, 4, 4449, 17, 134.69, 700.00
2026/08/31 19:41:22.749, 5, 4413, 0, 123.26, 700.00
2026/08/31 19:41:22.751, 6, 5563, 17, 128.13, 700.00
2026/08/31 19:41:22.754, 7, 4419, 0, 118.69, 700.00
2026/08/31 19:41:27.875, 0, 4449, 7, 121.79, 700.00
2026/08/31 19:41:27.879, 1, 4447, 0, 130.79, 700.00
2026/08/31 19:41:27.882, 2, 4447, 18, 127.79, 700.00
2026/08/31 19:41:27.884, 3, 4449, 19, 129.00, 700.00
2026/08/31 19:41:27.886, 4, 4449, 17, 134.01, 700.00
2026/08/31 19:41:27.889, 5, 5563, 19, 129.49, 700.00
2026/08/31 19:41:27.891, 6, 5563, 18, 128.65, 700.00
2026/08/31 19:41:27.894, 7, 5571, 18, 125.25, 700.00
2026/08/31 19:41:33.018, 0, 4449, 19, 126.80, 700.00
2026/08/31 19:41:33.022, 1, 5597, 18, 134.80, 700.00
2026/08/31 19:41:33.025, 2, 4449, 19, 128.53, 700.00
2026/08/31 19:41:33.027, 3, 4449, 19, 130.01, 700.00
2026/08/31 19:41:33.030, 4, 4449, 18, 134.51, 700.00
2026/08/31 19:41:33.033, 5, 5563, 19, 128.93, 700.00
2026/08/31 19:41:33.035, 6, 5563, 18, 131.32, 700.00
2026/08/31 19:41:33.038, 7, 5571, 19, 124.25, 700.00
2026/08/31 19:41:38.160, 0, 4449, 18, 128.14, 700.00
2026/08/31 19:41:38.165, 1, 5599, 19, 135.60, 700.00
2026/08/31 19:41:38.167, 2, 5577, 19, 128.24, 700.00
2026/08/31 19:41:38.170, 3, 4449, 19, 129.38, 700.00
2026/08/31 19:41:38.173, 4, 4449, 18, 134.98, 700.00
2026/08/31 19:41:38.175, 5, 5563, 19, 129.90, 700.00
2026/08/31 19:41:38.178, 6, 5563, 18, 132.49, 700.00
2026/08/31 19:41:38.180, 7, 5571, 19, 126.02, 700.00
2026/08/31 19:41:46.409, 0, 0, 0, 74.18, 700.00
2026/08/31 19:41:46.453, 1, 5599, 19, 137.15, 700.00
2026/08/31 19:41:46.508, 2, 5577, 19, 129.01, 700.00
2026/08/31 19:41:46.537, 3, 4449, 19, 129.65, 700.00
2026/08/31 19:41:46.563, 4, 4451, 7, 127.95, 700.00
2026/08/31 19:41:46.572, 5, 5845, 10, 132.24, 700.00
2026/08/31 19:41:46.614, 6, 5563, 18, 131.57, 700.00
2026/08/31 19:41:46.622, 7, 5571, 19, 127.22, 700.00
2026/08/31 19:41:51.776, 0, 0, 0, 74.17, 700.00
2026/08/31 19:41:51.781, 1, 5599, 19, 137.63, 700.00
2026/08/31 19:41:51.784, 2, 0, 0, 75.32, 700.00
2026/08/31 19:41:51.787, 3, 4449, 19, 129.87, 700.00
2026/08/31 19:41:51.789, 4, 4451, 7, 128.34, 700.00
2026/08/31 19:41:51.792, 5, 5845, 7, 123.20, 700.00
2026/08/31 19:41:51.794, 6, 5563, 19, 132.24, 700.00
2026/08/31 19:41:51.796, 7, 5817, 8, 118.17, 700.00
2026/08/31 19:41:56.935, 0, 0, 0, 74.10, 700.00
2026/08/31 19:41:56.940, 1, 5599, 19, 136.87, 700.00
2026/08/31 19:41:56.942, 2, 0, 0, 74.80, 700.00
2026/08/31 19:41:56.945, 3, 4449, 0, 119.33, 700.00
2026/08/31 19:41:56.947, 4, 4451, 18, 134.78, 700.00
2026/08/31 19:41:56.950, 5, 5845, 6, 123.18, 700.00
2026/08/31 19:41:56.952, 6, 5563, 21, 132.14, 700.00
2026/08/31 19:41:56.955, 7, 5817, 18, 124.32, 700.00
2026/08/31 19:42:02.092, 0, 0, 0, 74.09, 700.00
2026/08/31 19:42:02.097, 1, 5599, 20, 138.57, 700.00
2026/08/31 19:42:02.100, 2, 0, 0, 74.75, 700.00
2026/08/31 19:42:02.103, 3, 5577, 19, 130.63, 700.00
2026/08/31 19:42:02.105, 4, 4451, 18, 135.27, 700.00
2026/08/31 19:42:02.108, 5, 5845, 19, 130.67, 700.00
2026/08/31 19:42:02.111, 6, 5569, 19, 132.71, 700.00
2026/08/31 19:42:02.113, 7, 5817, 19, 125.74, 700.00
2026/08/31 19:42:07.247, 0, 0, 0, 74.04, 700.00
2026/08/31 19:42:07.252, 1, 5599, 20, 139.19, 700.00
2026/08/31 19:42:07.254, 2, 0, 0, 74.69, 700.00
2026/08/31 19:42:07.257, 3, 5577, 19, 131.09, 700.00
2026/08/31 19:42:07.260, 4, 4451, 18, 134.11, 700.00
