timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 19:47:19.897, 0, 0, 0, 73.74, 700.00
2026/08/31 19:47:19.910, 1, 0, 0, 79.36, 700.00
2026/08/31 19:47:19.913, 2, 0, 0, 74.49, 700.00
2026/08/31 19:47:19.916, 3, 0, 0, 74.76, 700.00
2026/08/31 19:47:19.931, 4, 0, 0, 79.73, 700.00
2026/08/31 19:47:19.934, 5, 0, 0, 75.71, 700.00
2026/08/31 19:47:19.938, 6, 0, 0, 123.94, 700.00
2026/08/31 19:47:19.940, 7, 0, 0, 72.51, 700.00
2026/08/31 19:47:25.872, 0, 4, 0, 73.83, 700.00
2026/08/31 19:47:26.011, 1, 1, 0, 79.11, 700.00
2026/08/31 19:47:26.040, 2, 1, 0, 74.45, 700.00
2026/08/31 19:47:26.072, 3, 1, 0, 74.72, 700.00
2026/08/31 19:47:26.222, 4, 1, 0, 79.61, 700.00
2026/08/31 19:47:26.384, 5, 1, 0, 75.68, 700.00
2026/08/31 19:47:26.556, 6, 4, 0, 75.92, 700.00
2026/08/31 19:47:26.596, 7, 1, 0, 72.50, 700.00
2026/08/31 19:47:32.127, 0, 2609, 0, 117.17, 700.00
2026/08/31 19:47:32.130, 1, 4, 0, 78.96, 700.00
2026/08/31 19:47:32.134, 2, 4, 0, 74.45, 700.00
2026/08/31 19:47:32.139, 3, 4, 0, 74.76, 700.00
2026/08/31 19:47:32.143, 4, 4, 0, 79.60, 700.00
2026/08/31 19:47:32.147, 5, 4, 0, 75.65, 700.00
2026/08/31 19:47:32.150, 6, 1385, 1, 88.35, 700.00
2026/08/31 19:47:32.152, 7, 4, 0, 72.47, 700.00
2026/08/31 19:47:37.273, 0, 4307, 1, 117.37, 700.00
2026/08/31 19:47:37.277, 1, 2609, 0, 123.23, 700.00
2026/08/31 19:47:37.279, 2, 2609, 0, 116.73, 700.00
2026/08/31 19:47:37.281, 3, 2609, 0, 118.06, 700.00
2026/08/31 19:47:37.283, 4, 2609, 0, 121.62, 700.00
2026/08/31 19:47:37.285, 5, 2609, 0, 119.06, 700.00
2026/08/31 19:47:37.288, 6, 4299, 1, 119.12, 700.00
2026/08/31 19:47:37.290, 7, 2609, 0, 114.16, 700.00
2026/08/31 19:47:45.516, 0, 4449, 18, 126.89, 700.00
2026/08/31 19:47:45.998, 1, 4447, 20, 134.48, 700.00
2026/08/31 19:47:46.317, 2, 4447, 18, 128.54, 700.00
2026/08/31 19:47:46.346, 3, 4447, 11, 121.85, 700.00
2026/08/31 19:47:46.434, 4, 4447, 6, 126.67, 700.00
2026/08/31 19:47:46.513, 5, 4413, 18, 130.90, 700.00
2026/08/31 19:47:46.547, 6, 4413, 0, 118.58, 700.00
2026/08/31 19:47:46.573, 7, 4419, 19, 123.96, 700.00
2026/08/31 19:47:51.831, 0, 4449, 17, 126.75, 700.00
2026/08/31 19:47:51.835, 1, 4447, 19, 133.72, 700.00
2026/08/31 19:47:51.838, 2, 4447, 18, 128.57, 700.00
2026/08/31 19:47:51.841, 3, 4449, 18, 128.73, 700.00
2026/08/31 19:47:51.843, 4, 4449, 18, 132.96, 700.00
2026/08/31 19:47:51.846, 5, 4413, 45, 119.68, 700.00
2026/08/31 19:47:51.848, 6, 5563, 18, 128.75, 700.00
2026/08/31 19:47:51.850, 7, 5571, 20, 123.94, 700.00
2026/08/31 19:47:56.973, 0, 4449, 5, 120.21, 700.00
2026/08/31 19:47:56.977, 1, 4447, 0, 123.41, 700.00
2026/08/31 19:47:56.979, 2, 4447, 18, 127.06, 700.00
2026/08/31 19:47:56.982, 3, 4449, 18, 129.25, 700.00
2026/08/31 19:47:56.984, 4, 4449, 18, 132.56, 700.00
2026/08/31 19:47:56.987, 5, 5563, 18, 131.79, 700.00
2026/08/31 19:47:56.989, 6, 5563, 19, 129.17, 700.00
2026/08/31 19:47:56.992, 7, 5571, 20, 125.32, 700.00
2026/08/31 19:48:02.118, 0, 4449, 17, 127.77, 700.00
2026/08/31 19:48:02.122, 1, 5597, 20, 134.91, 700.00
2026/08/31 19:48:02.125, 2, 4449, 7, 121.81, 700.00
2026/08/31 19:48:02.128, 3, 4449, 19, 129.62, 700.00
