timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 19:44:07.257, 0, 0, 0, 73.86, 700.00
2026/08/31 19:44:07.270, 1, 0, 0, 128.30, 700.00
2026/08/31 19:44:07.272, 2, 0, 0, 74.45, 700.00
2026/08/31 19:44:07.275, 3, 0, 0, 74.78, 700.00
2026/08/31 19:44:07.278, 4, 0, 0, 79.69, 700.00
2026/08/31 19:44:07.281, 5, 0, 0, 75.70, 700.00
2026/08/31 19:44:07.284, 6, 0, 0, 75.33, 700.00
2026/08/31 19:44:07.287, 7, 0, 0, 72.57, 700.00
2026/08/31 19:44:13.210, 0, 4, 0, 73.92, 700.00
2026/08/31 19:44:13.240, 1, 1, 0, 79.32, 700.00
2026/08/31 19:44:13.263, 2, 4, 0, 74.53, 700.00
2026/08/31 19:44:13.292, 3, 1, 0, 74.75, 700.00
2026/08/31 19:44:13.320, 4, 1, 0, 79.67, 700.00
2026/08/31 19:44:13.456, 5, 1, 0, 75.68, 700.00
2026/08/31 19:44:13.474, 6, 1, 0, 75.28, 700.00
2026/08/31 19:44:13.643, 7, 1, 0, 72.58, 700.00
2026/08/31 19:44:19.416, 0, 2609, 0, 116.79, 700.00
2026/08/31 19:44:19.418, 1, 4, 0, 79.13, 700.00
2026/08/31 19:44:19.421, 2, 2609, 0, 116.35, 700.00
2026/08/31 19:44:19.423, 3, 4, 0, 74.72, 700.00
2026/08/31 19:44:19.426, 4, 4, 0, 79.61, 700.00
2026/08/31 19:44:19.429, 5, 4, 0, 75.73, 700.00
2026/08/31 19:44:19.433, 6, 4, 0, 75.29, 700.00
2026/08/31 19:44:19.436, 7, 4, 0, 72.63, 700.00
2026/08/31 19:44:24.888, 0, 4299, 0, 116.13, 700.00
2026/08/31 19:44:24.905, 1, 2609, 0, 123.64, 700.00
2026/08/31 19:44:24.912, 2, 4299, 1, 116.97, 700.00
2026/08/31 19:44:24.914, 3, 2609, 0, 118.15, 700.00
2026/08/31 19:44:24.917, 4, 2609, 0, 121.66, 700.00
2026/08/31 19:44:24.919, 5, 2609, 0, 119.12, 700.00
2026/08/31 19:44:24.921, 6, 2609, 0, 117.82, 700.00
2026/08/31 19:44:24.925, 7, 3331, 16, 114.04, 700.00
2026/08/31 19:44:30.044, 0, 4447, 7, 121.43, 700.00
2026/08/31 19:44:30.048, 1, 4447, 6, 126.76, 700.00
2026/08/31 19:44:30.051, 2, 4447, 11, 121.38, 700.00
2026/08/31 19:44:30.054, 3, 4447, 9, 122.38, 700.00
2026/08/31 19:44:30.056, 4, 4447, 11, 126.58, 700.00
2026/08/31 19:44:30.058, 5, 4413, 7, 122.74, 700.00
2026/08/31 19:44:30.060, 6, 4413, 7, 121.85, 700.00
2026/08/31 19:44:30.063, 7, 4419, 19, 119.68, 700.00
2026/08/31 19:44:35.184, 0, 4449, 18, 126.42, 700.00
2026/08/31 19:44:35.188, 1, 4447, 19, 132.99, 700.00
2026/08/31 19:44:35.191, 2, 4447, 18, 127.18, 700.00
2026/08/31 19:44:35.193, 3, 4447, 6, 121.74, 700.00
2026/08/31 19:44:35.196, 4, 4447, 7, 126.50, 700.00
2026/08/31 19:44:35.198, 5, 4413, 17, 128.58, 700.00
2026/08/31 19:44:35.202, 6, 4413, 0, 118.16, 700.00
2026/08/31 19:44:35.204, 7, 4419, 18, 122.89, 700.00
2026/08/31 19:44:40.333, 0, 4449, 16, 126.96, 700.00
2026/08/31 19:44:40.336, 1, 4447, 19, 134.04, 700.00
2026/08/31 19:44:40.339, 2, 4447, 18, 127.11, 700.00
2026/08/31 19:44:40.341, 3, 4449, 18, 128.99, 700.00
2026/08/31 19:44:40.344, 4, 4449, 18, 132.87, 700.00
2026/08/31 19:44:40.347, 5, 5563, 19, 125.02, 700.00
2026/08/31 19:44:40.349, 6, 5563, 19, 128.93, 700.00
2026/08/31 19:44:40.352, 7, 5571, 19, 124.61, 700.00
2026/08/31 19:44:45.499, 0, 4449, 18, 122.96, 700.00
2026/08/31 19:44:45.502, 1, 5355, 4, 123.82, 700.00
2026/08/31 19:44:45.598, 2, 4447, 18, 127.68, 700.00
2026/08/31 19:44:45.898, 3, 4449, 19, 129.08, 700.00
2026/08/31 19:44:46.099, 4, 4449, 18, 133.55, 700.00
2026/08/31 19:44:46.108, 5, 5563, 19, 130.76, 700.00
2026/08/31 19:44:46.208, 6, 5563, 20, 129.52, 700.00
2026/08/31 19:44:46.217, 7, 5571, 19, 124.07, 700.00
2026/08/31 19:44:51.434, 0, 4449, 18, 125.36, 700.00
2026/08/31 19:44:51.439, 1, 5599, 19, 135.09, 700.00
2026/08/31 19:44:51.442, 2, 4449, 19, 126.73, 700.00
2026/08/31 19:44:51.444, 3, 4449, 18, 128.66, 700.00
2026/08/31 19:44:51.447, 4, 4449, 18, 134.27, 700.00
2026/08/31 19:44:51.449, 5, 5563, 19, 132.39, 700.00
2026/08/31 19:44:51.452, 6, 5563, 19, 131.31, 700.00
2026/08/31 19:44:51.455, 7, 5571, 19, 125.61, 700.00
2026/08/31 19:44:56.581, 0, 0, 0, 118.44, 700.00
2026/08/31 19:44:56.586, 1, 5599, 19, 135.85, 700.00
2026/08/31 19:44:56.589, 2, 5577, 19, 127.45, 700.00
2026/08/31 19:44:56.591, 3, 4449, 18, 129.35, 700.00
2026/08/31 19:44:56.593, 4, 4449, 19, 133.48, 700.00
2026/08/31 19:44:56.596, 5, 5563, 20, 131.57, 700.00
2026/08/31 19:44:56.598, 6, 5563, 20, 131.35, 700.00
2026/08/31 19:44:56.601, 7, 5571, 19, 125.85, 700.00
2026/08/31 19:45:01.727, 0, 0, 0, 74.10, 700.00
2026/08/31 19:45:01.732, 1, 5599, 20, 136.74, 700.00
2026/08/31 19:45:01.735, 2, 5577, 19, 128.44, 700.00
2026/08/31 19:45:01.737, 3, 4449, 18, 129.65, 700.00
2026/08/31 19:45:01.740, 4, 4451, 4, 134.83, 700.00
2026/08/31 19:45:01.742, 5, 5563, 20, 133.24, 700.00
2026/08/31 19:45:01.745, 6, 5563, 20, 132.68, 700.00
2026/08/31 19:45:01.747, 7, 5571, 20, 127.95, 700.00
2026/08/31 19:45:06.874, 0, 0, 0, 74.01, 700.00
2026/08/31 19:45:06.879, 1, 5599, 19, 136.18, 700.00
2026/08/31 19:45:06.882, 2, 5577, 19, 128.77, 700.00
2026/08/31 19:45:06.884, 3, 4449, 18, 128.73, 700.00
2026/08/31 19:45:06.887, 4, 4451, 7, 126.36, 700.00
2026/08/31 19:45:06.889, 5, 5563, 19, 134.08, 700.00
2026/08/31 19:45:06.892, 6, 5563, 20, 132.92, 700.00
2026/08/31 19:45:06.894, 7, 5571, 20, 127.82, 700.00
2026/08/31 19:45:12.020, 0, 0, 0, 73.97, 700.00
2026/08/31 19:45:12.024, 1, 5599, 20, 138.30, 700.00
2026/08/31 19:45:12.027, 2, 5577, 19, 128.48, 700.00
2026/08/31 19:45:12.029, 3, 4449, 6, 123.49, 700.00
2026/08/31 19:45:12.032, 4, 4451, 19, 134.33, 700.00
2026/08/31 19:45:12.034, 5, 5563, 20, 134.68, 700.00
2026/08/31 19:45:12.037, 6, 5563, 20, 133.02, 700.00
2026/08/31 19:45:12.040, 7, 5571, 23, 129.47, 700.00
2026/08/31 19:45:17.175, 0, 0, 0, 73.96, 700.00
2026/08/31 19:45:17.179, 1, 5599, 20, 138.80, 700.00
2026/08/31 19:45:17.182, 2, 5577, 20, 130.88, 700.00
2026/08/31 19:45:17.184, 3, 4449, 18, 129.46, 700.00
2026/08/31 19:45:17.187, 4, 4451, 18, 134.04, 700.00
2026/08/31 19:45:17.189, 5, 5563, 20, 135.41, 700.00
2026/08/31 19:45:17.192, 6, 5569, 21, 134.63, 700.00
2026/08/31 19:45:17.195, 7, 5571, 21, 129.41, 700.00
2026/08/31 19:45:22.342, 0, 0, 0, 73.96, 700.00
2026/08/31 19:45:22.347, 1, 5599, 23, 140.20, 700.00
2026/08/31 19:45:22.349, 2, 5577, 20, 130.78, 700.00
2026/08/31 19:45:22.352, 3, 5577, 18, 129.32, 700.00
2026/08/31 19:45:22.354, 4, 4451, 18, 136.82, 700.00
2026/08/31 19:45:22.357, 5, 5929, 22, 149.57, 700.00
2026/08/31 19:45:22.359, 6, 5569, 21, 134.89, 700.00
2026/08/31 19:45:22.362, 7, 5571, 21, 130.36, 700.00
2026/08/31 19:45:27.489, 0, 0, 0, 73.88, 700.00
2026/08/31 19:45:27.493, 1, 5599, 21, 140.44, 700.00
2026/08/31 19:45:27.496, 2, 5577, 20, 132.17, 700.00
2026/08/31 19:45:27.499, 3, 5577, 19, 131.01, 700.00
2026/08/31 19:45:27.502, 4, 4451, 19, 136.62, 700.00
2026/08/31 19:45:27.505, 5, 5929, 7, 123.27, 700.00
2026/08/31 19:45:27.507, 6, 5587, 21, 135.60, 700.00
2026/08/31 19:45:27.509, 7, 5571, 21, 131.54, 700.00
2026/08/31 19:45:32.640, 0, 0, 0, 73.85, 700.00
2026/08/31 19:45:32.645, 1, 5599, 21, 141.68, 700.00
2026/08/31 19:45:32.647, 2, 5577, 20, 132.35, 700.00
2026/08/31 19:45:32.650, 3, 5577, 19, 131.47, 700.00
2026/08/31 19:45:32.652, 4, 4451, 18, 133.57, 700.00
2026/08/31 19:45:32.655, 5, 5929, 7, 125.18, 700.00
2026/08/31 19:45:32.657, 6, 5587, 21, 135.93, 700.00
2026/08/31 19:45:32.661, 7, 5585, 21, 131.78, 700.00
2026/08/31 19:45:37.793, 0, 0, 0, 73.89, 700.00
2026/08/31 19:45:37.798, 1, 5599, 21, 141.31, 700.00
2026/08/31 19:45:37.801, 2, 0, 0, 75.48, 700.00
2026/08/31 19:45:37.806, 3, 5577, 19, 134.41, 700.00
2026/08/31 19:45:37.808, 4, 0, 0, 96.50, 700.00
2026/08/31 19:45:37.812, 5, 5929, 18, 129.55, 700.00
2026/08/31 19:45:37.814, 6, 5587, 21, 136.68, 700.00
2026/08/31 19:45:37.816, 7, 5585, 22, 132.80, 700.00
2026/08/31 19:45:43.137, 0, 0, 0, 73.90, 700.00
2026/08/31 19:45:43.143, 1, 5599, 21, 142.56, 700.00
