timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/09/01 04:17:20.937, 0, 0, 0, 102.26, 700.00
2026/09/01 04:17:20.940, 1, 0, 0, 79.32, 700.00
2026/09/01 04:17:20.950, 2, 0, 0, 74.73, 700.00
2026/09/01 04:17:20.962, 3, 0, 0, 75.07, 700.00
2026/09/01 04:17:20.965, 4, 0, 0, 80.40, 700.00
2026/09/01 04:17:20.968, 5, 0, 0, 75.98, 700.00
2026/09/01 04:17:20.971, 6, 0, 0, 75.65, 700.00
2026/09/01 04:17:20.974, 7, 0, 0, 72.39, 700.00
2026/09/01 04:17:26.790, 0, 1, 0, 73.74, 700.00
2026/09/01 04:17:27.054, 1, 1, 0, 79.34, 700.00
2026/09/01 04:17:27.199, 2, 4, 0, 74.71, 700.00
2026/09/01 04:17:27.231, 3, 1, 0, 74.97, 700.00
2026/09/01 04:17:27.422, 4, 1, 0, 80.35, 700.00
2026/09/01 04:17:27.584, 5, 1, 0, 75.94, 700.00
2026/09/01 04:17:27.645, 6, 1, 0, 75.55, 700.00
2026/09/01 04:17:27.684, 7, 1, 0, 72.32, 700.00
2026/09/01 04:17:33.136, 0, 27, 0, 80.78, 700.00
2026/09/01 04:17:33.141, 1, 4, 0, 79.25, 700.00
2026/09/01 04:17:33.145, 2, 2609, 0, 117.17, 700.00
2026/09/01 04:17:33.153, 3, 4, 0, 74.96, 700.00
2026/09/01 04:17:33.156, 4, 4, 0, 80.25, 700.00
2026/09/01 04:17:33.159, 5, 4, 0, 75.92, 700.00
2026/09/01 04:17:33.166, 6, 4, 0, 75.48, 700.00
2026/09/01 04:17:33.173, 7, 4, 0, 72.31, 700.00
2026/09/01 04:17:38.330, 0, 4217, 18, 118.39, 700.00
2026/09/01 04:17:38.335, 1, 2609, 0, 124.08, 700.00
2026/09/01 04:17:38.337, 2, 4447, 6, 125.30, 700.00
2026/09/01 04:17:38.340, 3, 3239, 0, 119.01, 700.00
2026/09/01 04:17:38.343, 4, 2609, 0, 122.85, 700.00
2026/09/01 04:17:38.347, 5, 2609, 0, 119.95, 700.00
2026/09/01 04:17:38.351, 6, 2609, 0, 118.19, 700.00
2026/09/01 04:17:38.354, 7, 2609, 0, 113.68, 700.00
2026/09/01 04:17:46.636, 0, 4449, 18, 127.21, 700.00
2026/09/01 04:17:46.677, 1, 4447, 19, 135.52, 700.00
2026/09/01 04:17:46.740, 2, 4447, 19, 128.73, 700.00
2026/09/01 04:17:46.807, 3, 4447, 4, 123.11, 700.00
2026/09/01 04:17:46.823, 4, 4447, 9, 127.14, 700.00
2026/09/01 04:17:46.836, 5, 4413, 18, 129.39, 700.00
2026/09/01 04:17:46.850, 6, 4413, 20, 128.92, 700.00
2026/09/01 04:17:46.918, 7, 4419, 18, 124.05, 700.00
2026/09/01 04:17:52.183, 0, 4449, 18, 129.55, 700.00
2026/09/01 04:17:52.188, 1, 4447, 19, 134.93, 700.00
2026/09/01 04:17:52.191, 2, 4447, 18, 126.80, 700.00
2026/09/01 04:17:52.193, 3, 4449, 18, 129.77, 700.00
2026/09/01 04:17:52.204, 4, 4447, 6, 128.51, 700.00
2026/09/01 04:17:52.210, 5, 4413, 0, 119.91, 700.00
2026/09/01 04:17:52.214, 6, 5563, 18, 127.40, 700.00
2026/09/01 04:17:52.216, 7, 4419, 0, 114.14, 700.00
2026/09/01 04:17:57.381, 0, 4449, 4, 121.14, 700.00
2026/09/01 04:17:57.386, 1, 4447, 0, 124.94, 700.00
2026/09/01 04:17:57.389, 2, 4447, 19, 127.13, 700.00
