timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 16:49:15.057, 0, 0, 0, 73.24, 700.00
2026/08/31 16:49:15.060, 1, 0, 0, 78.72, 700.00
2026/08/31 16:49:15.063, 2, 0, 0, 74.49, 700.00
2026/08/31 16:49:15.070, 3, 0, 0, 74.74, 700.00
2026/08/31 16:49:15.080, 4, 0, 0, 79.69, 700.00
2026/08/31 16:49:15.083, 5, 0, 0, 75.64, 700.00
2026/08/31 16:49:15.086, 6, 0, 0, 75.16, 700.00
2026/08/31 16:49:15.089, 7, 0, 0, 72.23, 700.00
2026/08/31 16:49:21.211, 0, 1, 0, 73.24, 700.00
2026/08/31 16:49:21.247, 1, 4, 0, 78.72, 700.00
2026/08/31 16:49:21.282, 2, 1, 0, 74.52, 700.00
2026/08/31 16:49:21.316, 3, 1, 0, 74.71, 700.00
2026/08/31 16:49:21.349, 4, 1, 0, 79.66, 700.00
2026/08/31 16:49:21.375, 5, 0, 0, 75.63, 700.00
2026/08/31 16:49:21.539, 6, 1, 0, 75.15, 700.00
2026/08/31 16:49:21.589, 7, 1, 0, 72.23, 700.00
2026/08/31 16:49:28.014, 0, 2609, 45, 100.28, 700.00
2026/08/31 16:49:28.017, 1, 2609, 0, 123.00, 700.00
2026/08/31 16:49:28.019, 2, 4, 0, 74.45, 700.00
2026/08/31 16:49:28.024, 3, 4, 0, 74.71, 700.00
2026/08/31 16:49:28.027, 4, 4, 0, 79.63, 700.00
2026/08/31 16:49:28.033, 5, 4, 0, 75.65, 700.00
2026/08/31 16:49:28.036, 6, 4, 0, 75.19, 700.00
2026/08/31 16:49:28.040, 7, 4, 0, 72.26, 700.00
2026/08/31 16:49:33.182, 0, 4337, 17, 120.78, 700.00
2026/08/31 16:49:33.188, 1, 4447, 8, 125.99, 700.00
2026/08/31 16:49:33.191, 2, 2609, 0, 117.31, 700.00
2026/08/31 16:49:33.193, 3, 4217, 8, 118.80, 700.00
2026/08/31 16:49:33.196, 4, 2885, 0, 121.68, 700.00
2026/08/31 16:49:33.198, 5, 2609, 0, 119.05, 700.00
2026/08/31 16:49:33.201, 6, 2609, 0, 117.99, 700.00
2026/08/31 16:49:33.205, 7, 2609, 0, 113.30, 700.00
2026/08/31 16:49:38.343, 0, 4447, 11, 121.50, 700.00
2026/08/31 16:49:38.347, 1, 4447, 18, 134.76, 700.00
2026/08/31 16:49:38.349, 2, 4447, 7, 120.35, 700.00
2026/08/31 16:49:38.352, 3, 4447, 10, 122.45, 700.00
2026/08/31 16:49:38.354, 4, 4447, 9, 126.65, 700.00
2026/08/31 16:49:38.357, 5, 4413, 8, 122.74, 700.00
2026/08/31 16:49:38.359, 6, 4413, 19, 124.48, 700.00
2026/08/31 16:49:38.362, 7, 4419, 11, 117.38, 700.00
2026/08/31 16:49:47.036, 0, 4449, 17, 126.48, 700.00
2026/08/31 16:49:47.050, 1, 4447, 0, 129.64, 700.00
2026/08/31 16:49:47.107, 2, 4447, 14, 126.42, 700.00
2026/08/31 16:49:47.122, 3, 4449, 14, 128.04, 700.00
2026/08/31 16:49:47.142, 4, 4449, 17, 131.75, 700.00
2026/08/31 16:49:47.155, 5, 4413, 0, 119.61, 700.00
2026/08/31 16:49:47.182, 6, 5201, 9, 118.55, 700.00
2026/08/31 16:49:47.192, 7, 4419, 0, 113.76, 700.00
2026/08/31 16:49:52.421, 0, 4449, 8, 121.13, 700.00
2026/08/31 16:49:52.431, 1, 4447, 0, 123.30, 700.00
2026/08/31 16:49:52.433, 2, 4447, 18, 127.22, 700.00
2026/08/31 16:49:52.436, 3, 4449, 18, 128.46, 700.00
2026/08/31 16:49:52.440, 4, 4449, 18, 133.06, 700.00
2026/08/31 16:49:52.443, 5, 5563, 20, 127.07, 700.00
2026/08/31 16:49:52.446, 6, 5563, 18, 128.47, 700.00
2026/08/31 16:49:52.454, 7, 5571, 18, 122.96, 700.00
2026/08/31 16:49:57.649, 0, 4449, 19, 127.65, 700.00
2026/08/31 16:49:57.660, 1, 5599, 19, 134.46, 700.00
2026/08/31 16:49:57.663, 2, 4447, 19, 127.76, 700.00
2026/08/31 16:49:57.668, 3, 4449, 19, 128.19, 700.00
2026/08/31 16:49:57.675, 4, 4449, 18, 133.88, 700.00
2026/08/31 16:49:57.681, 5, 5563, 19, 131.62, 700.00
2026/08/31 16:49:57.685, 6, 5563, 19, 129.82, 700.00
2026/08/31 16:49:57.689, 7, 5571, 20, 126.10, 700.00
2026/08/31 16:50:02.860, 0, 0, 0, 122.27, 700.00
2026/08/31 16:50:02.865, 1, 5599, 18, 136.90, 700.00
2026/08/31 16:50:02.867, 2, 4449, 0, 122.68, 700.00
2026/08/31 16:50:02.870, 3, 4449, 18, 128.54, 700.00
2026/08/31 16:50:02.875, 4, 4449, 18, 133.26, 700.00
2026/08/31 16:50:02.879, 5, 5563, 18, 131.67, 700.00
2026/08/31 16:50:02.883, 6, 5563, 19, 130.84, 700.00
2026/08/31 16:50:02.887, 7, 5575, 19, 124.99, 700.00
2026/08/31 16:50:08.082, 0, 0, 0, 73.70, 700.00
2026/08/31 16:50:08.086, 1, 5599, 19, 136.31, 700.00
2026/08/31 16:50:08.088, 2, 5577, 19, 128.37, 700.00
2026/08/31 16:50:08.092, 3, 4449, 19, 130.24, 700.00
2026/08/31 16:50:08.095, 4, 4451, 7, 128.95, 700.00
2026/08/31 16:50:08.099, 5, 5563, 19, 132.88, 700.00
2026/08/31 16:50:08.102, 6, 5563, 19, 132.37, 700.00
2026/08/31 16:50:08.105, 7, 5567, 0, 114.24, 700.00
2026/08/31 16:50:13.281, 0, 0, 0, 73.61, 700.00
2026/08/31 16:50:13.288, 1, 5599, 20, 136.54, 700.00
2026/08/31 16:50:13.291, 2, 0, 0, 84.28, 700.00
2026/08/31 16:50:13.295, 3, 4449, 19, 129.11, 700.00
2026/08/31 16:50:13.299, 4, 4451, 18, 130.81, 700.00
2026/08/31 16:50:13.302, 5, 5563, 19, 132.59, 700.00
2026/08/31 16:50:13.306, 6, 5565, 0, 130.46, 700.00
2026/08/31 16:50:13.310, 7, 0, 0, 72.47, 700.00
2026/08/31 16:50:18.488, 0, 0, 0, 73.57, 700.00
2026/08/31 16:50:18.494, 1, 5599, 22, 138.05, 700.00
2026/08/31 16:50:18.496, 2, 0, 0, 74.71, 700.00
2026/08/31 16:50:18.500, 3, 4449, 18, 130.79, 700.00
2026/08/31 16:50:18.503, 4, 4451, 18, 134.10, 700.00
2026/08/31 16:50:18.506, 5, 5563, 20, 134.30, 700.00
2026/08/31 16:50:18.510, 6, 6879, 19, 128.39, 700.00
2026/08/31 16:50:18.514, 7, 0, 0, 72.45, 700.00
2026/08/31 16:50:24.843, 0, 0, 0, 73.58, 700.00
2026/08/31 16:50:24.870, 1, 6891, 6, 127.43, 700.00
2026/08/31 16:50:24.895, 2, 0, 0, 74.67, 700.00
2026/08/31 16:50:24.946, 3, 4449, 0, 119.09, 700.00
2026/08/31 16:50:24.966, 4, 4451, 18, 133.16, 700.00
2026/08/31 16:50:24.996, 5, 5563, 20, 134.09, 700.00
2026/08/31 16:50:25.031, 6, 6879, 19, 129.41, 700.00
2026/08/31 16:50:25.052, 7, 0, 0, 72.37, 700.00
2026/08/31 16:50:30.332, 0, 0, 0, 73.57, 700.00
2026/08/31 16:50:30.340, 1, 6891, 8, 128.88, 700.00
2026/08/31 16:50:30.342, 2, 0, 0, 74.64, 700.00
2026/08/31 16:50:30.346, 3, 0, 0, 81.60, 700.00
2026/08/31 16:50:30.351, 4, 4451, 19, 133.60, 700.00
2026/08/31 16:50:30.353, 5, 5569, 20, 134.31, 700.00
2026/08/31 16:50:30.358, 6, 6879, 19, 130.63, 700.00
2026/08/31 16:50:30.363, 7, 0, 0, 72.34, 700.00
2026/08/31 16:50:35.550, 0, 0, 0, 73.54, 700.00
2026/08/31 16:50:35.556, 1, 6891, 18, 134.25, 700.00
2026/08/31 16:50:35.558, 2, 0, 0, 74.58, 700.00
2026/08/31 16:50:35.561, 3, 0, 0, 75.10, 700.00
2026/08/31 16:50:35.567, 4, 4451, 19, 134.38, 700.00
2026/08/31 16:50:35.569, 5, 5569, 20, 135.59, 700.00
2026/08/31 16:50:35.573, 6, 6879, 19, 131.38, 700.00
2026/08/31 16:50:35.577, 7, 0, 0, 72.34, 700.00
2026/08/31 16:50:40.762, 0, 0, 0, 73.54, 700.00
2026/08/31 16:50:40.767, 1, 6891, 18, 135.88, 700.00
2026/08/31 16:50:40.771, 2, 0, 0, 74.57, 700.00
2026/08/31 16:50:40.774, 3, 0, 0, 75.06, 700.00
2026/08/31 16:50:40.778, 4, 0, 0, 81.29, 700.00
2026/08/31 16:50:40.784, 5, 5569, 23, 136.79, 700.00
2026/08/31 16:50:40.789, 6, 6879, 19, 131.55, 700.00
2026/08/31 16:50:40.793, 7, 0, 0, 72.36, 700.00
2026/08/31 16:50:46.084, 0, 0, 0, 73.52, 700.00
2026/08/31 16:50:46.094, 1, 6891, 19, 133.80, 700.00
2026/08/31 16:50:46.097, 2, 0, 0, 74.53, 700.00
2026/08/31 16:50:46.205, 3, 0, 0, 74.99, 700.00
2026/08/31 16:50:46.215, 4, 0, 0, 80.27, 700.00
2026/08/31 16:50:46.222, 5, 7479, 8, 123.75, 700.00
2026/08/31 16:50:46.307, 6, 6879, 20, 132.30, 700.00
2026/08/31 16:50:46.317, 7, 0, 0, 72.33, 700.00
2026/08/31 16:50:51.587, 0, 0, 0, 73.48, 700.00
2026/08/31 16:50:51.593, 1, 6891, 19, 135.35, 700.00
2026/08/31 16:50:51.595, 2, 0, 0, 74.56, 700.00
2026/08/31 16:50:51.598, 3, 0, 0, 74.94, 700.00
2026/08/31 16:50:51.603, 4, 0, 0, 80.18, 700.00
2026/08/31 16:50:51.607, 5, 7479, 7, 124.77, 700.00
2026/08/31 16:50:51.612, 6, 6879, 19, 132.23, 700.00
2026/08/31 16:50:51.615, 7, 0, 0, 72.29, 700.00
2026/08/31 16:50:56.804, 0, 0, 0, 73.23, 700.00
2026/08/31 16:50:56.809, 1, 6891, 19, 135.48, 700.00
2026/08/31 16:50:56.812, 2, 0, 0, 74.53, 700.00
2026/08/31 16:50:56.815, 3, 0, 0, 74.89, 700.00
2026/08/31 16:50:56.820, 4, 0, 0, 80.19, 700.00
2026/08/31 16:50:56.823, 5, 7479, 19, 130.56, 700.00
2026/08/31 16:50:56.826, 6, 6879, 20, 134.31, 700.00
2026/08/31 16:50:56.831, 7, 0, 0, 72.31, 700.00
2026/08/31 16:51:02.020, 0, 0, 0, 73.24, 700.00
2026/08/31 16:51:02.026, 1, 6891, 19, 135.18, 700.00
2026/08/31 16:51:02.029, 2, 0, 0, 74.51, 700.00
2026/08/31 16:51:02.032, 3, 0, 0, 74.86, 700.00
2026/08/31 16:51:02.038, 4, 0, 0, 80.10, 700.00
2026/08/31 16:51:02.043, 5, 7479, 18, 129.91, 700.00
2026/08/31 16:51:02.048, 6, 6879, 20, 134.08, 700.00
2026/08/31 16:51:02.052, 7, 0, 0, 72.29, 700.00
2026/08/31 16:51:07.236, 0, 0, 0, 73.25, 700.00
2026/08/31 16:51:07.240, 1, 6891, 19, 134.76, 700.00
2026/08/31 16:51:07.244, 2, 0, 0, 74.46, 700.00
2026/08/31 16:51:07.248, 3, 0, 0, 74.82, 700.00
2026/08/31 16:51:07.253, 4, 0, 0, 80.00, 700.00
2026/08/31 16:51:07.257, 5, 7479, 18, 131.25, 700.00
