timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 17:08:18.024, 0, 0, 0, 73.17, 700.00
2026/08/31 17:08:18.036, 1, 0, 0, 78.68, 700.00
2026/08/31 17:08:18.039, 2, 0, 0, 74.46, 700.00
2026/08/31 17:08:18.042, 3, 0, 0, 74.60, 700.00
2026/08/31 17:08:18.045, 4, 0, 0, 79.50, 700.00
2026/08/31 17:08:18.048, 5, 0, 0, 75.57, 700.00
2026/08/31 17:08:18.051, 6, 0, 0, 75.31, 700.00
2026/08/31 17:08:18.054, 7, 0, 0, 72.18, 700.00
2026/08/31 17:08:25.335, 0, 1, 0, 73.13, 700.00
2026/08/31 17:08:25.359, 1, 1, 0, 78.64, 700.00
2026/08/31 17:08:25.394, 2, 4, 0, 74.39, 700.00
2026/08/31 17:08:25.428, 3, 1, 0, 74.57, 700.00
2026/08/31 17:08:25.566, 4, 1, 0, 79.49, 700.00
2026/08/31 17:08:25.587, 5, 1, 0, 75.57, 700.00
2026/08/31 17:08:25.607, 6, 1, 0, 75.31, 700.00
2026/08/31 17:08:25.654, 7, 1, 0, 72.25, 700.00
2026/08/31 17:08:31.607, 0, 4, 0, 73.11, 700.00
2026/08/31 17:08:31.613, 1, 4, 0, 78.57, 700.00
2026/08/31 17:08:31.616, 2, 2609, 0, 117.25, 700.00
2026/08/31 17:08:31.618, 3, 4, 0, 74.60, 700.00
2026/08/31 17:08:31.622, 4, 4, 0, 79.43, 700.00
2026/08/31 17:08:31.627, 5, 4, 0, 75.59, 700.00
2026/08/31 17:08:31.632, 6, 4, 0, 75.29, 700.00
2026/08/31 17:08:31.635, 7, 4, 0, 72.19, 700.00
2026/08/31 17:08:36.790, 0, 3983, 36, 117.27, 700.00
2026/08/31 17:08:36.797, 1, 2609, 0, 121.52, 700.00
2026/08/31 17:08:36.800, 2, 4447, 6, 119.80, 700.00
2026/08/31 17:08:36.803, 3, 2609, 0, 117.92, 700.00
2026/08/31 17:08:36.810, 4, 2609, 0, 121.32, 700.00
2026/08/31 17:08:36.817, 5, 2609, 0, 118.94, 700.00
2026/08/31 17:08:36.821, 6, 2629, 0, 116.85, 700.00
