timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 18:01:38.456, 0, 0, 0, 76.54, 700.00
2026/08/31 18:01:38.460, 1, 0, 0, 86.42, 700.00
2026/08/31 18:01:38.463, 2, 0, 0, 77.59, 700.00
2026/08/31 18:01:38.466, 3, 0, 0, 80.31, 700.00
2026/08/31 18:01:38.469, 4, 0, 0, 88.37, 700.00
2026/08/31 18:01:38.472, 5, 0, 0, 79.41, 700.00
2026/08/31 18:01:38.475, 6, 0, 0, 81.08, 700.00
2026/08/31 18:01:38.478, 7, 0, 0, 75.07, 700.00
2026/08/31 18:01:47.154, 0, 1, 0, 75.65, 700.00
2026/08/31 18:01:47.227, 1, 1, 0, 84.52, 700.00
2026/08/31 18:01:47.289, 2, 1, 0, 76.63, 700.00
2026/08/31 18:01:47.330, 3, 1, 0, 79.18, 700.00
2026/08/31 18:01:47.407, 4, 0, 0, 87.14, 700.00
2026/08/31 18:01:47.458, 5, 0, 0, 78.40, 700.00
2026/08/31 18:01:47.525, 6, 1, 0, 79.61, 700.00
2026/08/31 18:01:47.559, 7, 1, 0, 74.42, 700.00
2026/08/31 18:01:53.116, 0, 4, 0, 77.85, 700.00
2026/08/31 18:01:53.124, 1, 4, 0, 83.51, 700.00
2026/08/31 18:01:53.127, 2, 4, 0, 76.31, 700.00
2026/08/31 18:01:53.130, 3, 4, 0, 78.47, 700.00
2026/08/31 18:01:53.134, 4, 4, 0, 86.09, 700.00
2026/08/31 18:01:53.137, 5, 4, 0, 77.94, 700.00
2026/08/31 18:01:53.140, 6, 4, 0, 79.04, 700.00
2026/08/31 18:01:53.144, 7, 4, 0, 76.94, 700.00
2026/08/31 18:01:58.293, 0, 2609, 11, 100.00, 700.00
2026/08/31 18:01:58.298, 1, 2609, 0, 132.91, 700.00
2026/08/31 18:01:58.300, 2, 2609, 0, 121.48, 700.00
2026/08/31 18:01:58.302, 3, 2609, 0, 126.86, 700.00
2026/08/31 18:01:58.305, 4, 2609, 0, 133.36, 700.00
2026/08/31 18:01:58.308, 5, 2609, 0, 122.83, 700.00
2026/08/31 18:01:58.311, 6, 2609, 0, 125.52, 700.00
2026/08/31 18:01:58.315, 7, 2609, 0, 116.93, 700.00
2026/08/31 18:02:03.469, 0, 4303, 2, 121.04, 700.00
2026/08/31 18:02:03.473, 1, 4447, 20, 139.85, 700.00
2026/08/31 18:02:03.476, 2, 4447, 8, 125.23, 700.00
2026/08/31 18:02:03.478, 3, 4329, 19, 129.32, 700.00
2026/08/31 18:02:03.483, 4, 4447, 11, 138.68, 700.00
2026/08/31 18:02:03.487, 5, 4413, 10, 126.49, 700.00
2026/08/31 18:02:03.490, 6, 4413, 11, 128.66, 700.00
2026/08/31 18:02:03.493, 7, 4419, 7, 122.18, 700.00
2026/08/31 18:02:08.649, 0, 4447, 7, 123.24, 700.00
2026/08/31 18:02:08.654, 1, 4447, 19, 143.39, 700.00
2026/08/31 18:02:08.657, 2, 4447, 19, 131.06, 700.00
2026/08/31 18:02:08.661, 3, 4447, 6, 130.54, 700.00
2026/08/31 18:02:08.664, 4, 4449, 13, 138.52, 700.00
2026/08/31 18:02:08.668, 5, 4413, 19, 133.29, 700.00
2026/08/31 18:02:08.672, 6, 4413, 18, 137.48, 700.00
2026/08/31 18:02:08.677, 7, 4419, 19, 127.43, 700.00
2026/08/31 18:02:13.851, 0, 4449, 16, 128.20, 700.00
2026/08/31 18:02:13.856, 1, 4447, 17, 142.16, 700.00
2026/08/31 18:02:13.859, 2, 4447, 17, 130.13, 700.00
2026/08/31 18:02:13.861, 3, 4449, 17, 134.56, 700.00
2026/08/31 18:02:13.866, 4, 4449, 16, 140.91, 700.00
2026/08/31 18:02:13.870, 5, 4413, 0, 122.22, 700.00
2026/08/31 18:02:13.873, 6, 4413, 0, 124.36, 700.00
2026/08/31 18:02:13.876, 7, 4419, 0, 116.48, 700.00
2026/08/31 18:02:19.035, 0, 4449, 7, 132.92, 700.00
2026/08/31 18:02:19.041, 1, 4447, 0, 130.73, 700.00
2026/08/31 18:02:19.043, 2, 4447, 18, 132.12, 700.00
2026/08/31 18:02:19.045, 3, 4449, 18, 134.55, 700.00
2026/08/31 18:02:19.050, 4, 4449, 18, 141.13, 700.00
2026/08/31 18:02:19.053, 5, 5563, 20, 133.17, 700.00
2026/08/31 18:02:19.056, 6, 5589, 6, 127.52, 700.00
2026/08/31 18:02:19.060, 7, 5571, 19, 127.32, 700.00
2026/08/31 18:02:24.677, 0, 4449, 19, 130.44, 700.00
2026/08/31 18:02:24.688, 1, 5599, 19, 141.56, 700.00
2026/08/31 18:02:24.691, 2, 4449, 10, 125.38, 700.00
2026/08/31 18:02:24.695, 3, 4449, 18, 133.08, 700.00
2026/08/31 18:02:24.700, 4, 4449, 18, 139.35, 700.00
2026/08/31 18:02:24.705, 5, 5601, 7, 125.15, 700.00
2026/08/31 18:02:24.709, 6, 5589, 19, 133.26, 700.00
2026/08/31 18:02:24.714, 7, 5575, 7, 123.57, 700.00
2026/08/31 18:02:29.862, 0, 4449, 18, 129.63, 700.00
2026/08/31 18:02:29.867, 1, 5601, 0, 134.44, 700.00
2026/08/31 18:02:29.869, 2, 4449, 0, 120.53, 700.00
2026/08/31 18:02:29.872, 3, 4449, 18, 135.25, 700.00
2026/08/31 18:02:29.874, 4, 4449, 18, 139.51, 700.00
2026/08/31 18:02:29.876, 5, 5601, 7, 126.36, 700.00
2026/08/31 18:02:29.879, 6, 5589, 20, 134.21, 700.00
2026/08/31 18:02:29.881, 7, 5575, 19, 126.23, 700.00
2026/08/31 18:02:35.009, 0, 0, 0, 74.00, 700.00
2026/08/31 18:02:35.013, 1, 5603, 7, 132.29, 700.00
2026/08/31 18:02:35.015, 2, 5579, 0, 124.92, 700.00
2026/08/31 18:02:35.017, 3, 4449, 18, 133.48, 700.00
2026/08/31 18:02:35.020, 4, 4451, 11, 133.33, 700.00
2026/08/31 18:02:35.022, 5, 5601, 18, 132.09, 700.00
2026/08/31 18:02:35.024, 6, 0, 9, 124.94, 700.00
2026/08/31 18:02:35.026, 7, 0, 0, 119.39, 700.00
2026/08/31 18:02:40.220, 0, 0, 0, 73.81, 700.00
2026/08/31 18:02:40.244, 1, 5603, 7, 133.14, 700.00
2026/08/31 18:02:40.249, 2, 0, 0, 75.17, 700.00
2026/08/31 18:02:40.258, 3, 4449, 18, 134.28, 700.00
2026/08/31 18:02:40.264, 4, 4451, 18, 138.25, 700.00
2026/08/31 18:02:40.269, 5, 5601, 18, 132.14, 700.00
2026/08/31 18:02:40.276, 6, 0, 0, 76.98, 700.00
2026/08/31 18:02:40.282, 7, 0, 0, 73.15, 700.00
2026/08/31 18:02:46.616, 0, 0, 0, 74.15, 700.00
2026/08/31 18:02:46.629, 1, 5603, 19, 138.06, 700.00
2026/08/31 18:02:46.637, 2, 0, 0, 75.26, 700.00
2026/08/31 18:02:46.705, 3, 4449, 11, 129.08, 700.00
2026/08/31 18:02:46.735, 4, 4451, 18, 138.52, 700.00
2026/08/31 18:02:46.754, 5, 5601, 19, 131.37, 700.00
2026/08/31 18:02:46.805, 6, 0, 0, 76.70, 700.00
2026/08/31 18:02:46.819, 7, 0, 0, 73.00, 700.00
2026/08/31 18:02:52.054, 0, 0, 0, 74.07, 700.00
2026/08/31 18:02:52.060, 1, 5603, 19, 139.03, 700.00
2026/08/31 18:02:52.065, 2, 0, 0, 75.07, 700.00
2026/08/31 18:02:52.071, 3, 4449, 18, 132.31, 700.00
2026/08/31 18:02:52.082, 4, 4451, 19, 138.47, 700.00
2026/08/31 18:02:52.085, 5, 5601, 19, 131.63, 700.00
2026/08/31 18:02:52.088, 6, 0, 0, 76.51, 700.00
2026/08/31 18:02:52.091, 7, 0, 0, 72.84, 700.00
2026/08/31 18:02:57.334, 0, 0, 0, 74.01, 700.00
2026/08/31 18:02:57.344, 1, 5603, 19, 138.79, 700.00
2026/08/31 18:02:57.348, 2, 0, 0, 75.25, 700.00
2026/08/31 18:02:57.355, 3, 5577, 19, 133.68, 700.00
2026/08/31 18:02:57.360, 4, 4451, 18, 138.27, 700.00
2026/08/31 18:02:57.366, 5, 5601, 19, 130.38, 700.00
2026/08/31 18:02:57.373, 6, 0, 0, 76.25, 700.00
2026/08/31 18:02:57.388, 7, 0, 0, 72.79, 700.00
2026/08/31 18:03:02.589, 0, 0, 0, 73.90, 700.00
2026/08/31 18:03:02.593, 1, 5603, 19, 138.24, 700.00
2026/08/31 18:03:02.596, 2, 0, 0, 75.22, 700.00
2026/08/31 18:03:02.600, 3, 0, 0, 76.38, 700.00
2026/08/31 18:03:02.605, 4, 4451, 19, 138.08, 700.00
2026/08/31 18:03:02.611, 5, 5601, 19, 131.17, 700.00
2026/08/31 18:03:02.626, 6, 0, 0, 76.19, 700.00
2026/08/31 18:03:02.639, 7, 0, 0, 72.69, 700.00
2026/08/31 18:03:07.837, 0, 0, 0, 73.86, 700.00
2026/08/31 18:03:07.841, 1, 5603, 19, 137.95, 700.00
2026/08/31 18:03:07.844, 2, 0, 0, 75.15, 700.00
2026/08/31 18:03:07.849, 3, 0, 0, 76.14, 700.00
2026/08/31 18:03:07.853, 4, 0, 0, 94.74, 700.00
2026/08/31 18:03:07.858, 5, 5601, 19, 132.08, 700.00
2026/08/31 18:03:07.867, 6, 0, 0, 76.01, 700.00
2026/08/31 18:03:07.883, 7, 0, 0, 72.67, 700.00
2026/08/31 18:03:13.061, 0, 0, 0, 73.80, 700.00
2026/08/31 18:03:13.065, 1, 5603, 19, 137.22, 700.00
2026/08/31 18:03:13.068, 2, 0, 0, 75.04, 700.00
2026/08/31 18:03:13.072, 3, 0, 0, 75.96, 700.00
2026/08/31 18:03:13.077, 4, 0, 0, 82.20, 700.00
2026/08/31 18:03:13.082, 5, 0, 0, 125.21, 700.00
2026/08/31 18:03:13.094, 6, 0, 0, 76.23, 700.00
2026/08/31 18:03:13.097, 7, 0, 0, 72.61, 700.00
