timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w,power_limit_w
2026/08/31 18:04:48.607, 0, 0, 0, 73.28, 700.00
2026/08/31 18:04:48.619, 1, 0, 0, 79.13, 700.00
2026/08/31 18:04:48.623, 2, 0, 0, 74.64, 700.00
2026/08/31 18:04:48.626, 3, 0, 0, 75.05, 700.00
2026/08/31 18:04:48.629, 4, 0, 0, 80.08, 700.00
2026/08/31 18:04:48.642, 5, 0, 0, 75.86, 700.00
2026/08/31 18:04:48.645, 6, 0, 0, 75.40, 700.00
2026/08/31 18:04:48.648, 7, 0, 0, 72.70, 700.00
2026/08/31 18:04:54.547, 0, 4, 0, 73.36, 700.00
2026/08/31 18:04:54.685, 1, 1, 0, 79.08, 700.00
2026/08/31 18:04:54.703, 2, 1, 0, 74.62, 700.00
2026/08/31 18:04:54.728, 3, 1, 0, 75.04, 700.00
2026/08/31 18:04:54.765, 4, 1, 0, 80.12, 700.00
2026/08/31 18:04:54.802, 5, 1, 0, 75.86, 700.00
2026/08/31 18:04:55.080, 6, 1, 0, 75.39, 700.00
2026/08/31 18:04:55.118, 7, 1, 0, 72.71, 700.00
2026/08/31 18:05:01.301, 0, 2609, 0, 117.30, 700.00
2026/08/31 18:05:01.308, 1, 2609, 22, 105.61, 700.00
2026/08/31 18:05:01.323, 2, 4, 0, 74.58, 700.00
2026/08/31 18:05:01.332, 3, 4, 0, 75.00, 700.00
2026/08/31 18:05:01.339, 4, 23, 0, 81.78, 700.00
2026/08/31 18:05:01.347, 5, 4, 0, 75.88, 700.00
2026/08/31 18:05:01.354, 6, 4, 0, 75.36, 700.00
2026/08/31 18:05:01.361, 7, 4, 0, 72.73, 700.00
2026/08/31 18:05:06.501, 0, 4337, 19, 121.17, 700.00
2026/08/31 18:05:06.506, 1, 4303, 0, 123.50, 700.00
2026/08/31 18:05:06.508, 2, 2609, 0, 116.96, 700.00
2026/08/31 18:05:06.511, 3, 3641, 15, 118.81, 700.00
2026/08/31 18:05:06.514, 4, 4217, 0, 123.52, 700.00
2026/08/31 18:05:06.516, 5, 2609, 0, 119.36, 700.00
2026/08/31 18:05:06.518, 6, 2609, 0, 117.97, 700.00
2026/08/31 18:05:06.521, 7, 2609, 0, 113.70, 700.00
2026/08/31 18:05:11.643, 0, 4447, 7, 122.32, 700.00
2026/08/31 18:05:11.647, 1, 4447, 19, 133.38, 700.00
2026/08/31 18:05:11.649, 2, 4447, 6, 120.47, 700.00
2026/08/31 18:05:11.652, 3, 4447, 11, 123.36, 700.00
2026/08/31 18:05:11.654, 4, 4447, 7, 126.80, 700.00
2026/08/31 18:05:11.656, 5, 4413, 6, 124.68, 700.00
2026/08/31 18:05:11.659, 6, 4413, 19, 122.49, 700.00
2026/08/31 18:05:11.661, 7, 4419, 6, 119.66, 700.00
2026/08/31 18:05:16.791, 0, 4449, 18, 127.45, 700.00
2026/08/31 18:05:16.796, 1, 4447, 18, 133.68, 700.00
2026/08/31 18:05:16.799, 2, 4447, 17, 126.59, 700.00
2026/08/31 18:05:16.802, 3, 4447, 6, 121.74, 700.00
2026/08/31 18:05:16.805, 4, 4449, 18, 132.87, 700.00
2026/08/31 18:05:16.808, 5, 4413, 19, 129.91, 700.00
2026/08/31 18:05:16.811, 6, 4413, 0, 118.42, 700.00
2026/08/31 18:05:16.813, 7, 4419, 19, 123.58, 700.00
2026/08/31 18:05:21.941, 0, 4449, 5, 124.61, 700.00
2026/08/31 18:05:21.945, 1, 4447, 0, 124.36, 700.00
2026/08/31 18:05:21.947, 2, 4447, 17, 125.85, 700.00
2026/08/31 18:05:21.950, 3, 4449, 16, 127.47, 700.00
2026/08/31 18:05:21.953, 4, 4449, 17, 133.75, 700.00
2026/08/31 18:05:21.956, 5, 4413, 0, 119.81, 700.00
2026/08/31 18:05:21.958, 6, 5563, 17, 129.17, 700.00
2026/08/31 18:05:21.961, 7, 4419, 0, 113.93, 700.00
2026/08/31 18:05:27.084, 0, 4449, 19, 127.77, 700.00
2026/08/31 18:05:27.089, 1, 4447, 27, 124.54, 700.00
2026/08/31 18:05:27.092, 2, 4447, 17, 126.10, 700.00
2026/08/31 18:05:27.094, 3, 4449, 18, 129.59, 700.00
2026/08/31 18:05:27.097, 4, 4449, 19, 134.17, 700.00
2026/08/31 18:05:27.100, 5, 4413, 0, 119.96, 700.00
2026/08/31 18:05:27.103, 6, 5589, 6, 122.43, 700.00
2026/08/31 18:05:27.105, 7, 5135, 43, 114.14, 700.00
2026/08/31 18:05:32.228, 0, 4449, 18, 128.47, 700.00
2026/08/31 18:05:32.233, 1, 5599, 19, 136.24, 700.00
2026/08/31 18:05:32.236, 2, 4449, 6, 125.82, 700.00
2026/08/31 18:05:32.238, 3, 4449, 19, 129.24, 700.00
2026/08/31 18:05:32.240, 4, 4449, 20, 134.63, 700.00
2026/08/31 18:05:32.243, 5, 5563, 19, 129.75, 700.00
2026/08/31 18:05:32.246, 6, 5591, 19, 128.72, 700.00
2026/08/31 18:05:32.248, 7, 5571, 19, 125.77, 700.00
2026/08/31 18:05:37.377, 0, 0, 0, 74.11, 700.00
2026/08/31 18:05:37.382, 1, 5599, 2, 132.57, 700.00
2026/08/31 18:05:37.385, 2, 4449, 6, 118.10, 700.00
2026/08/31 18:05:37.387, 3, 4449, 18, 128.51, 700.00
2026/08/31 18:05:37.389, 4, 4449, 15, 134.31, 700.00
2026/08/31 18:05:37.391, 5, 5603, 7, 124.24, 700.00
2026/08/31 18:05:37.394, 6, 5591, 18, 129.65, 700.00
2026/08/31 18:05:37.396, 7, 5575, 7, 117.98, 700.00
2026/08/31 18:05:46.416, 0, 0, 0, 73.77, 700.00
2026/08/31 18:05:46.451, 1, 5603, 8, 129.31, 700.00
2026/08/31 18:05:46.510, 2, 5571, 0, 122.42, 700.00
2026/08/31 18:05:46.525, 3, 4449, 19, 129.93, 700.00
